article_id,title,newspaper_id,newspaper_title,page,date,category,words,illustrated,corrections,url,page_url
230268057,"""Smithy's"" Quick Service Plan 15 HOURS SYDNEY-PERTH Fast 'Planes DAILY AIR MAIL",1180,"The Sun (Sydney, NSW : 1910 - 1954)",23 S,1935-01-31,Article,735,N,0,http://nla.gov.au/nla.news-article230268057,http://trove.nla.gov.au/newspaper/page/24631215
239678879,"AERIAL RECORD IS SHATTERED ""Smithy"" Flies Route In Hours PERTH-SYDNEY",1284,"The Labor Daily (Sydney, NSW : 1924 - 1938)",5,1934-09-12,Article,338,Y,0,http://nla.gov.au/nla.news-article239678879,http://trove.nla.gov.au/newspaper/page/25584249
237684475,A LAME TELEGRAPHIC SERVICE. NINE HOURS FROM PERTH TO SYDNEY.,1297,"The Daily Telegraph (Sydney, NSW : 1883 - 1930)",9,1905-07-22,Article,359,N,0,http://nla.gov.au/nla.news-article237684475,http://trove.nla.gov.au/newspaper/page/25672379
236205718,PERTH--SYDNEY MOTOR CAR RECORD BROKEN . ' Wizard Smith's Record Reduced By 11 Hours 51 Minutes,1224,The Corowa Free Press (NSW : 1875 - 1954),3,1929-10-04,Article,123,N,0,http://nla.gov.au/nla.news-article236205718,http://trove.nla.gov.au/newspaper/page/25443750
242752333,PERTH TO SYDNEY IN 24 HOURS New Plane Service,1190,"The Herald (Melbourne, Vic. : 1861 - 1954)",5,1930-09-04,Article,106,N,0,http://nla.gov.au/nla.news-article242752333,http://trove.nla.gov.au/newspaper/page/26372322
243652157,"DAY LOST IN TRANSIT OF MAILS 12 Hours Wasted at Perth SYDNEY, Tuesday.",1190,"The Herald (Melbourne, Vic. : 1861 - 1954)",16,1922-08-22,Article,437,N,0,http://nla.gov.au/nla.news-article243652157,http://trove.nla.gov.au/newspaper/page/26461313
246323798,SYDNEY-PERTH IN 28 AIR HOURS WOMAN FLIER EQUALS PREVIOUS BEST,1347,"The Daily Telegraph (Sydney, NSW : 1931 - 1954)",1,1932-05-03,Article,65,N,0,http://nla.gov.au/nla.news-article246323798,http://trove.nla.gov.au/newspaper/page/27035536
244641181,PERTH TO SYDNEY IN 30 HOURS Quick Trip By Air,1190,"The Herald (Melbourne, Vic. : 1861 - 1954)",12,1937-04-15,Article,287,N,0,http://nla.gov.au/nla.news-article244641181,http://trove.nla.gov.au/newspaper/page/26601608
34639826,"RECORDS SHATTERED KINGSFORD SMITH'S FLIGHT PERTH TO SYDNEY IN 10 HOURS 30 MINUTES Perth, Sept. 11.",100,"Western Argus (Kalgoorlie, WA : 1916 - 1938)",13,1934-09-18,Article,268,N,0,http://nla.gov.au/nla.news-article34639826,http://trove.nla.gov.au/newspaper/page/4277764
95018593,"RECORDS SHATTERED KINGSFORD SMITH'S FLIGHT PERTH TO SYDNEY IN 10 HOURS 30 MINUTES Perth, Sept. 11.",342,Kalgoorlie Miner (WA : 1895 - 1950),4,1934-09-12,Article,272,N,0,http://nla.gov.au/nla.news-article95018593,http://trove.nla.gov.au/newspaper/page/9164412
134790552,"IN 9½ HOURS Perth-Sydney Flight ALL RECORDS BROKEN Kingsford Smith's Lockheed Shows Its Speed SYDNEY, Tuesday.",356,Newcastle Morning Herald and Miners' Advocate (NSW : 1876 - 1954),7,1934-09-12,Article,243,N,0,http://nla.gov.au/nla.news-article134790552,http://trove.nla.gov.au/newspaper/page/10106839
159753054,"RECORD FLIGHT PERTH TO SYDNEY ""Smithy"" Does Job in 9 Hours, 32 Minutes SYDNEY, Tuesday.",650,"National Advocate (Bathurst, NSW : 1889 - 1954)",2,1934-09-12,Article,209,N,0,http://nla.gov.au/nla.news-article159753054,http://trove.nla.gov.au/newspaper/page/17100170
194429390,"SMITHY Perth-Sydney Dash AVERAGED 228 M.P.H. 2175 MILES IN 9 HOURS 32 MINUTES. SYDNEY, Tuesday.",1005,"Daily Examiner (Grafton, NSW : 1915 - 1954)",5,1934-09-12,Article,212,Y,0,http://nla.gov.au/nla.news-article194429390,http://trove.nla.gov.au/newspaper/page/21762271
16589855,"SYDNEY TO PERTH. JOURNEY IN 35 HOURS. BY AEROPLANE AND TRAIN. MELBOURNE, Thursday.",35,The Sydney Morning Herald (NSW : 1842 - 1954),15,1929-10-04,Article,182,N,0,http://nla.gov.au/nla.news-article16589855,http://trove.nla.gov.au/newspaper/page/1272910
32319428,SYDNEY TO PERTH. A NEW PROJECT. Air and Rail Journey of 35 Hours.,30,"The West Australian (Perth, WA : 1879 - 1954)",22,1929-10-04,Article,337,N,0,http://nla.gov.au/nla.news-article32319428,http://trove.nla.gov.au/newspaper/page/2848257
41640842,SPEEDING UP TRANSCONTINENTAL TRAINS Saving Of 24 Hours From Perth To Sydney MELBOURNE. May 2.,44,"The Advertiser (Adelaide, SA : 1931 - 1954)",18,1937-05-03,Article,225,N,0,http://nla.gov.au/nla.news-article41640842,http://trove.nla.gov.au/newspaper/page/2929622
